,rank02,artist_names,track_name,source,peak_rank,stream02,streams09,streams16,streams23,peak_rank23,rank09,rank16,rank23,weeks_on_chart
102,103,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,12,7948562,8288242,7944531,8058638,21,103,103,103,37
103,104,Måneskin,SUPERMODEL,Epic,89,7942732,8170982,7874104,8050368,24,104,104,104,7
104,105,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,5,7861503,8023252,7866397,8039602,14,105,105,105,5
105,106,Doja Cat,Need to Know,Kemosabe Records/RCA Records,6,7788009,8002434,7861933,7924183,54,106,106,106,8
106,107,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,6,7723020,7986151,7803580,7875293,107,107,107,107,4
107,108,J. Cole,No Role Modelz,Roc Nation Records LLC,76,7705349,7973914,7783942,7831924,11,108,108,108,19
108,109,Benson Boone,In The Stars,Warner Records,54,7687660,7973054,7730707,7798443,109,109,109,109,10
109,110,"Megan Thee Stallion, Dua Lipa",Sweetest Pie,300 Entertainment,17,7618786,7971438,7696382,NaN,NaN,110,110,NaN,NaN
110,111,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,111,7565049,7925068,7676987,7759538,111,111,111,111,19
111,112,Bad Bunny,Agosto,Rimas Entertainment LLC,30,7525347,7878846,7661449,7685619,7,112,112,112,60
112,113,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,7433673,7845605,7654157,7681231,24,113,113,113,4
113,114,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,7358224,7844111,7593620,NaN,NaN,114,114,NaN,NaN
114,115,Imagine Dragons,Believer,Kid Ina Korner / Interscope,16,7357485,NaN,7574914,7664484,3,NaN,115,115,55
115,116,"Jax Jones, MNEK",Where Did You Go? (feat. MNEK),Polydor Records,116,7267562,7717503,7548560,7651133,17,116,116,116,15
116,117,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,7167499,7714492,7519495,7614114,31,117,117,117,39
117,118,Dua Lipa,Don't Start Now,Warner Records,2,7110501,7661313,7503817,7610455,15,118,118,118,5
118,119,Coldplay,Yellow,Parlophone UK,58,7109867,7520685,7475416,7607275,3,119,119,119,6
119,120,Måneskin,Beggin',RCA Records Label,1,7020451,7517493,7427079,7580273,24,120,120,120,218
120,121,Zion & Lennox,Yo Voy (feat. Daddy Yankee),Baby Records Inc,59,7017615,NaN,7397351,7575589,76,NaN,121,121,48
121,122,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",9,6944728,7413524,7393809,NaN,NaN,122,122,NaN,NaN
122,123,"Post Malone, The Weeknd",One Right Now (with The Weeknd),Republic Records,9,6943353,7402988,7383569,7511342,2,123,123,123,96
123,124,The Goo Goo Dolls,Iris,Warner Records,124,6898090,NaN,7358779,NaN,NaN,NaN,124,NaN,NaN
124,125,The Weeknd,Die For You,Universal Republic Records,125,6877857,7266608,7355206,7410412,5,125,125,125,61
125,126,"PSY, SUGA",That That (prod. & feat. SUGA of BTS),P NATION,21,6862807,7232790,7346554,7401380,16,126,126,126,281
126,127,Imagine Dragons,Bones,KIDinaKORNER/Interscope Records,56,6830429,7230809,7320652,7364687,27,127,127,127,7
127,128,Eminem,The Real Slim Shady,Interscope,51,6798254,7212280,7312173,7363483,59,128,128,128,12
128,129,The Neighbourhood,Softcore,Columbia,35,6772893,7200230,7231488,7346501,20,129,129,129,7
129,130,Kendrick Lamar,Rich Spirit,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,17,6701785,7189801,7226105,7332521,12,130,130,130,38
130,131,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,6673616,7170369,7212010,7295892,6,131,131,131,54
131,132,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,6673228,7144551,7180713,7287332,132,132,NaN,132,5
132,133,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,70,6658712,7115227,7137982,7275700,122,133,133,133,10
133,134,OneRepublic,Counting Stars,Mosley / Interscope,101,6628974,7039831,7120966,7271288,18,134,134,134,13
134,135,"Alejo, Feid, ROBI",Pantysito,UMLE - Latino,55,6625397,7034558,7117690,7181807,11,135,135,135,34
135,136,Jack Harlow,Dua Lipa,Generation Now/Atlantic,37,6620650,6917552,7009266,7178139,38,136,136,136,20
136,137,Queen,Bohemian Rhapsody - Remastered 2011,EMI,11,6525950,6889515,6971878,7166217,56,137,NaN,137,15
137,138,Mr.Kitty,After Dark,Negative Gain Productions,138,6523680,6831443,6875172,7122760,11,138,138,138,5
138,139,"Shae Gill, Ali Sethi",Pasoori,Giraffe Pakistan,109,6474835,NaN,6839155,7079073,139,NaN,139,139,4
139,140,BTS,Dynamite,BIGHIT MUSIC,2,6465877,6777991,6802985,7055625,89,140,NaN,140,6
140,141,Future,PUFFIN ON ZOOTIEZ,Epic/Freebandz,40,6451898,NaN,6797088,7041345,58,NaN,141,141,79
141,142,Taylor Swift,Blank Space,"Big Machine Records, LLC",113,6434176,6744020,6775355,6999839,33,142,142,142,17
142,143,Nirvana,Smells Like Teen Spirit,Geffen,103,6432369,6732266,6733327,6980408,1,143,NaN,143,65
143,144,Sia,Unstoppable,Monkey Puzzle Records/RCA Records,107,6383880,6722100,6722275,6940155,1,144,144,144,66
144,145,Bruno Mars,Locked out of Heaven,Atlantic Records,106,6356260,6703715,6651129,6938205,2,145,145,145,138
145,146,BTS,Butter,BIGHIT MUSIC,2,6340644,6697512,6649507,NaN,NaN,146,146,NaN,NaN
146,147,Ed Sheeran,Shape of You,Atlantic Records UK,1,6331317,6656936,6631528,6786392,97,147,147,147,4
147,148,Victor Cibrian,En El Radio Un Cochinero,Rancho Humilde,148,6329729,6616827,6603954,6759063,18,148,148,148,9
148,149,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",Aftermath,44,6302645,6594288,6598508,6734905,59,149,149,149,18
149,150,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,6293135,6573590,6597146,6676891,19,150,150,150,5
150,151,"Mora, Sech",TUS LÁGRIMAS,Rimas Entertainment LLC,93,6259708,6512734,6551712,6652521,1,151,151,151,55
151,152,The Killers,Mr. Brightside,Island Records,98,6237085,6476476,6545987,6648576,4,152,152,152,181
152,153,"Morat, Duki",París,Universal Music Spain S.L.,130,6217709,6471086,6485027,6644351,12,153,153,153,133
153,154,CKay,love nwantiti (ah ah ah),Chocolate City Music,9,6214408,6422426,6443217,6614193,70,154,154,154,27
154,155,Vance Joy,Riptide,F-Stop Records/Atlantic,122,6190070,6413256,6432435,6596180,11,155,155,155,195
155,156,Harry Styles,Adore You,Columbia,6,6186654,6392966,6425974,6562922,13,156,156,156,5
156,157,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",116,6146409,6377966,6412139,6549664,35,157,157,157,24
157,158,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,2,6140510,NaN,6395358,6535490,9,NaN,NaN,158,33
